author,genre,image_url,price,rating,reviews_count,title
Joseph Nguyen,Self Help,https://m.media-amazon.com/images/I/715qi-cIbML._AC_UY218_.jpg,163,4.5,"11,964",Don't Believe Everything You Think (English)
Cal Newport,Self Help,https://m.media-amazon.com/images/I/81JJ7fyyKyS._AC_UY218_.jpg,232,4.5,"30,704",DEEP WORK: RULES FOR FOCUSED SUCCESS IN A DISTRACTED WORLD
Thibaut Meurisse,Self Help,https://m.media-amazon.com/images/I/712K3sdLlRL._AC_UY218_.jpg,181,4.4,"14,851",Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things
Brianna Wiest,Self Help,https://m.media-amazon.com/images/I/61xivWmExiL._AC_UY218_.jpg,259,4.4,"23,042",The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English)
Jeff Keller,Self Help,https://m.media-amazon.com/images/I/61go3pwTLYL._AC_UY218_.jpg,135,4.5,"26,132",Attitude is Everything change your attitude change your life!
by,Self Help,https://m.media-amazon.com/images/I/71pEaSYkhsL._AC_UY218_.jpg,199,4.5,448,"The Art of Letting Go by Nick Trenton | A Self-Help Guide to Emotional Freedom, Inner Peace & Overcoming Anxiety | Learn to Heal, Grow & Move On from the Past"
Joseph Murphy,Self Help,https://m.media-amazon.com/images/I/61WMgOHyDaL._AC_UY218_.jpg,99,4.4,"77,590",The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback
Nick Trenton,Self Help,https://m.media-amazon.com/images/I/81TwewImvVL._AC_UY218_.jpg,168,4.3,"12,587",Stop Overthinking
Peter Hollins,Self Help,https://m.media-amazon.com/images/I/81A6gJs73QL._AC_UY218_.jpg,258,4.6,216,"The Science of Self-Discipline: The Willpower, Mental Toughness and Self-Control to Resist Temptation and Achieve Your Goals"
Tam Kaur,Self Help,https://m.media-amazon.com/images/I/71GBDoieNJL._AC_UY218_.jpg,220,4.6,469,Buy Yourself The Damn Flowers
by,Self Help,https://m.media-amazon.com/images/I/71TqdH9wTmL._AC_UY218_.jpg,315,4.5,"26,958",World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set
Darius Foroux,Self Help,https://m.media-amazon.com/images/I/71XpkRq0ncL._AC_UY218_.jpg,149,4.2,"14,799","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
